Response ID,Country,City,Region,Home ZIP,Work ZIP,Are you a resident of a nearby neighborhood?,Do you own a business on Telegraph?,Do you work on or near Telegraph?,"Do you visit the stores, restaurants and bars, or use the services on Telegraph Avenue?",Do you commute via Telegraph Avenue?,How often do you visit or pass through Telegraph Avenue?,ModeRank1,ModeRank2,ModeRank3,ModeRank4,ModeRank5,ModeRank6,ModeRankNR,Rank of driving among modes of transport 1,Rank of AC Transit among modes of transport 1,Rank of BART among modes of transport 1,Rank of bicycle  among modes of transport 1,Rank of walking  among modes of transport 1,"Rank of ""other""  among modes of transport 1",What do you like best about Telegraph Avenue?,What do you wish were different about Telegraph Avenue?,Tgraph is good for pedestrians,Tgraph is good for bicyclists,Tgraph is good for motorists,Tgraph is good for transit riders,Do you feel that the existing configuration adequately balances the needs of all users (pedestrians/cyclists/motorists/transit riders)?,ImprRank1,ImprRank2,ImproRank3,ImprRank4,ImprRankNR,Rank driving should have in planned improvements 1,Rank public transit should have in planned improvements 1,Rank bicycling should have in planned improvements 1,Rank walking should have in planned improvements 1,Ideas to help motorists,Ideas to help transit riders,Ideas to help bicyclists,Ideas to help pedestrians,Comments on the draft vision statement,"What streets in Oakland, the Bay Area, or anywhere in the world do you wish Telegraph Avenue more closely resembled? What about those streets do you like? What aspects of those streets would you most like to see on Telegraph Avenue?",Is there anything we missed? Please share any additional comments you have about Telegraph Avenue.
237,United States,Oakland,CA,94612,94102,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Biking,BART,Driving,ACT,Walking,,Other,3,4,2,1,5,,the new bars and restaurants in the Uptown area,safer bicycle commute,No Opinion,Strongly Disagree,Strongly Agree,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,,bus shelters,bike lanes,wider sidewalks,,"Mandela Parkway has bike lanes and beautiful landscaping.  Many people cycle, walk their dogs, walk for fitness, and sit in the park areas.","would love to see landscaping, wider sidewalks, shorter pedestrian crossings, decorative bus shelters, bike racks, and bike lanes"
238,United States,San Francisco,CA,94608,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Driving,,BART,,,,ACTBikingWalkingOther,1,,3,,,,"Lots of shops and activity, have seen many improvements and revitalization over the years (repaving of 51st to 57th was very nice); one of Oakland's core streets","Please make it safer for bikes! Green bike lanes would be a good start. Need some pedestrian crossing aids in the section between 20th and 27th (blinking botts dots, curb 'bumps' that extend into the street, better crosswalk paint, etc.) - many close calls there during commute hours. Fix the manhole 'dips/potholes' on Telegraph around 580. More trees!",Disagree,Strongly Disagree,Agree,No Opinion,No,Biking,TransitWalking,Driving,,,3,2,1,2,"Lower speeds by traffic light timing, more police traffic enforcement (people drive crazy...)",,"Green painted bike lanes, perception of safety","Crossing aids, lights, crosswalk paint (20th-27th, 40th-51st)",,,Thanks for working on this!
239,United States,Stockton,CA,94609,,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,,Driving,BARTWalking,Biking,,ACT,Other,2,6,3,4,3,,"Small businesses, restaurants and cafes.",More businesses! A clearly marked and defined bike path. More street trees and plants.,Disagree,Strongly Disagree,Agree,Agree,No,Biking,Walking,,DrivingTransit,,4,4,1,2,,,Better bike lanes,More benches,,,
240,United States,Oakland,CA,94609,,Yes,No/blank,No/blank,No/blank,No/blank,Daily,BikingWalking,BART,Other,,DrivingACT,,,5,5,2,1,1,3,I live on Telegraph and I enjoy my close proximity to public transit as well as shops/restaurants/bars/etc.,I wish the bike lane extended from Berkeley down through Oakland. There are a few sketchy pats biking down Telegraph (most noticeably where Shattuck hits Telegraph). I wish the street was safer for cyclists. I also wish some of the fast food places didn't have large parking lots. I think they break up the street poorly and don't fit with the density of this area.,Disagree,Disagree,Agree,Disagree,No,Biking,Walking,Transit,Driving,,4,3,1,2,,,Shattuck/Telegraph intersection is not fun for drivers or cyclists due to people not stopping when they merge onto Telegraph.,,,,
241,United States,Oakland,CA,94608,94612,No/blank,No/blank,Yes,Yes,Yes,Daily,Driving,Biking,BART,Walking,Other,ACT,,1,6,3,2,4,5,All the restaurants and bars.,The blatantly aggressive cat calls and harassment I deal with daily from intimidating men.,Strongly Disagree,Disagree,Disagree,No Opinion,No,Walking,Driving,Biking,Transit,,2,4,3,1,,,,,,,
242,United States,San Francisco,CA,94608,94108,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,BARTWalking,,DrivingBiking,,,ACTOther,,3,6,1,3,1,6,Diversity of shops and restaurants.,Cleaner and safer at night.,Agree,No Opinion,No Opinion,Disagree,No,TransitWalking,Biking,Driving,,,3,1,2,1,,,,"Ease of crossing, perception of safety",,"College Ave in Rockridge. I like that it is so pedestrian and BART friendly, which I think really helps the businesses succeed.",
243,United States,Oakland,CA,94602,,No/blank,No/blank,No/blank,Yes,Yes,A few times per week,Biking,,,,,DrivingACTBARTWalkingOther,,6,6,6,1,6,6,it is straight and flat,bike lanes,Agree,Strongly Disagree,Strongly Agree,Agree,No,Biking,Transit,Walking,Driving,,4,2,1,3,,,,,,,
244,United States,San Francisco,CA,94609,94105,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,BART,Driving,BikingWalking,,,ACT,Other,2,6,1,3,3,,"Lots of restaurant options, especially Korean food.",I wish there were more small stores.,Disagree,Agree,Strongly Agree,No Opinion,No,BikingWalking,,,,DrivingTransit,,,1,1,The intersection and 45th could be more clearly marked,,,,,"I wish there was a little more going on, like A few lower priced food/drinking options - and less of a major traffic route. However, as a driver, I'm not sure I'd like traffic slowed down there because it's a great north south route.",
245,United States,Hercules,CA,94705,94607,Yes,No/blank,Yes,Yes,Yes,Daily,Other,Driving,ACT,Walking,BART,Biking,,2,3,5,6,4,1,it is a direct shot from Berkeley to downtown Oakland.,"Better paving, less parking, well-defined bike lanes.",Disagree,Disagree,Strongly Agree,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,more visibility at intersections between 20th and 38th.,live transit times at all bus stops.,bicycle lanes from 66th-20th streets. no street side parking.,more frequent crosswalks between 40th and 30th.,more police presence would be a great thing.,I would look to Japan or the Netherlands for inspiration.,
246,United States,Portland,OR,94608,94709,Yes,No/blank,Yes,Yes,Yes,A few times per week,Biking,Walking,BART,ACT,Driving,Other,,5,4,3,1,2,6,The destinations.,"The street section. I wish it had less room for cars and more safe, dedicated, protected space for bicycles & pedestrians. I also wish it had better transit -- streetcar, light rail, or at least bus rapid transit, preferably electric-powered to reduce noise and emissions. I wish it was smooth pavement. I wish it had lower crime. I wish it had more destinations and fewer vacant lots, fewer parking lots, and fewer cars.",Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Biking,Transit,Walking,Driving,,4,2,1,3,"Entire length of Telegraph: Remove all traffic lights and replace with traffic circles. Remove a lane of traffic in each direction, no more than one lane is required in each direction.","Entire length of Telegraph: A dedicated transit right-of-way, more room at stops and more amenities to make them more like stations, less frequent stops so the transit vehicle can move faster, electrification to get dirty diesel buses off our streets.","Entire length of Telegraph: A cycle track between the parking lane and the curb, where parking is present, should be the default configuration. A buffered bicycle lane should be used where there is no on-street parking. Paint and rumble strips should be used to protect the cycle track from turning car traffic at intersections, as well as potentially special signal cycles at major intersections.","Better crosswalks using bulbouts, islands and HAWK signals to facilitate easier crossing; more sidewalk cafes, more seating in PARKlets in the parking strip.","The end result should be to make Telegraph Avenue safe for bicyclists aged 8 to 80, and for pedestrians of any age.","Gammel Kongevej, Copenhagen, Denmark is one example of a street that has continuous protected bicycle lanes or cycle tracks along its length, as well as transit lanes, auto lanes, auto parking where room allows, and a safe pedestrian environment. I would prefer to see more trees along Telegraph, but otherwise this seems like a good example.","The cycle track could either be two way on one side of the street, or one way on both sides of the street. Of the two options, the former might be preferable, given the lower space requirement and the limited available ROW on Telegraph."
247,United States,Oakland,CA,94610,94609,Yes,No/blank,Yes,Yes,Yes,A few times per week,Biking,ACT,BARTWalking,,Driving,,Other,5,2,3,1,3,,Atmosphere and liveliness,Bike lane,Agree,Strongly Disagree,No Opinion,Agree,No,BikingWalking,Transit,,Driving,,4,2,1,1,,,bike lanes and ease of making turns,,,Any roads with clearly marked bike lanes.,
248,United States,Oakland,CA,94609,95616,Yes,No/blank,No/blank,Yes,Yes,Daily,Driving,,BART,ACT,Walking,Biking,Other,1,4,3,6,5,,"It is a major thoroughfare throughout Oakland. Consequently, much of Telegraph Avenue has wonderful businesses in which to patronize. Moreover, it is a great way to commute between Jack London Square and Temescal.","Telegraph Avenue is too car-centric. There are absolutely no police to monitor the behavior of drivers as they run red lights at 42nd and Telegraph and 40th and Telegraph. In addition, as a major thoroughfare through Oakland, there should be some effort to make it a more attractive street. There should be a median with vegetation (e.g., oak trees, native plants). This would make Telegraph prettier and make it such that the street becomes less car-centric. Bike lanes, like the new bike lanes that have appeared on 40th between Broadway and Market, are necessary. And, although this is wishful thinking, Telegraph Ave. would be a great street to consider having a light rail should Oakland want to join the modern age.",Disagree,Disagree,Agree,Disagree,No,Driving,Transit,Walking,Biking,,1,2,4,3,"Telegraph Ave is primarily a street for drivers to drive in any way they want without any repercussions. Regretfully, this is often at the expense of pedestrians and bicyclists. This is more appropriate for suburbs than for cities.","Many bus stops on Telegraph are inadequate. Compare bus shelters in Oakland to bus shelters in San Francisco or Chicago. All bus stops should provide shelter for passengers. In general, AC Transit lines (e.g., 1 and 1R) run somewhat sporadically. This is less of a problem for people with Smart phones and an AC Transit application, but for passengers who do not have this luxury, some people have to wait a really long time sometimes between buses.","There are certain areas of Telegraph (around both Flying Yoga locations, for example) where there is a large influx of cars parking and leaving throughout the day. Separated bike lanes, like the ones that have appeared in Chicago and Seattle might be helpful in these areas where there are a lot of cars parking and leaving.","Walk lights through major intersections should be activated regardless of pedestrians need to push the walk sign button. There is not not enough time for pedestrians to walk across most streets unless the walk sign is pushed (e.g, 40th and 42nd). This reinforces the notion that pedestrians are regarded not nearly as important as drivers.",This is an impressive vision statement. It seems that the city of Oakland and the Alameda County Transportation Commission are aware of the problems on Telegraph Ave. I hope to be able to experience the outcome of this vision statement in the near future.,"Milwaukee Ave in Chicago, IL; Ainsworth St. or Mississippi Ave in Portland, OR; Pine / Pike in Seattle, WA; S. Broadway in Denver, CO.",
249,United States,Oakland,CA,94612,94107,Yes,No/blank,No/blank,Yes,No/blank,Daily,DrivingACTOther,,,Walking,Biking,BART,,1,1,6,5,4,1,Lots of great businesses,"Wider sidewalks, segregated bicycle infrastructure, and restoration of streetcar service",Disagree,Strongly Disagree,Strongly Agree,No Opinion,No,Driving,Walking,Transit,Biking,,1,3,4,2,Traffic calming measures between Grand and 51st,Traffic signals timed to prioritize buses,Segregated bicycle infrastructure from Downtown to Rockridge,Physically protected pedestrian islands at all major intersections,Don't just implement what people ask for without verifying that it's the most cost effective and statistically proven means to these ends.,"Market Street in San Francisco has wide sidewalks, transit priority lanes, islands for pedestrians trying to cross, physically separated bicycle lanes, and public seating. All of that would be nice.",
250,United States,Emeryville,CA,94608,94103,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,Walking,Driving,BART,Biking,ACT,Other,,2,5,3,4,1,6,"Great restaurants on/near Telegraph, direct cross-cutting driving route through the city.","Not a very pleasant area to spend time - lots of concrete, little greenery, wide streets, low buildings, cars go relatively fast for pedestrians to be comfortable.",Disagree,No Opinion,Agree,Disagree,No,Walking,Transit,Biking,Driving,,4,2,3,1,,,More bike racks along the street,"More vegetation - thinking about area around 40th-51st, but applies elsewhere",,,
251,United States,Ridgefield,CT,94609,94108,Yes,No/blank,No/blank,Yes,Yes,Daily,Biking,BART,Walking,ACT,Other,Driving,,6,4,2,1,3,5,"straight shot between Oakland and Berkeley, with interesting neighborhoods along the way",Smoother pavement would make a huge difference for me daily. Making dedicated space for bikes would help calm traffic and make a difference for people who are not used to riding in more traffic.,No Opinion,Strongly Disagree,Strongly Agree,Disagree,No,Biking,Transit,Walking,Driving,,4,2,1,3,remove a lane to calm traffic,dedicated bus lane; covered bus stops,bike lanes; green boxes at intersections; bike turn lanes,"better-marked crosswalks, better lighting","Sounds great. Note that ""improve the safety of all modes"" can very well happen to the perceived detriment of motorists.","Berkeley's bike boulevards are always a treat to ride along. The on-street markings for turns and intersections along the Wiggle in SF are nice, and seem to be well-received by casual cyclists. The fully-separated bike/car routes described on copenhagenize.com sound like a treat.",
252,United States,Oakland,CA,95606,,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,Driving,Biking,BART,Walking,,,ACTOther,1,,3,2,4,,shops and services,It's a terrible street for biking -- bad traffic and bad street surface.,Agree,Strongly Disagree,No Opinion,No Opinion,No,Biking,,,,DrivingTransitWalking,,,1,,,,A dedicated bike lane with new pavement,,,"40th street in Oakland has green bike lanes, very visible and feel very safe.  Many of the streets in berlin have bike lanes that go from street up onto the sidewalks when necessary and everyone follows the rules, pedestrians stay out of them; it works well.  they also have small traffic lights for the bike lanes.","Motorists notice how rough the road surfaces are, but potholes can actually be dangerous for bicyclists. Telegraph is pretty bad that way."
253,United States,Oakland,CA,94608,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,Walking,BART,ACT,Driving,Other,,5,4,3,1,2,6,Not much,"Bike lanes , fix pot holes. I would love light rail!",Disagree,Disagree,Strongly Disagree,Disagree,No,Biking,Transit,Walking,Driving,,4,2,1,3,Car free. Transit inly,,Protected zones,Better lit crosswalks with blinking lights,Light rail connection to Berkeley campus from downtown Oakland,College ave in rockridge,Please fix MLK too
254,United States,Oakland,CA,94608,,Yes,No/blank,No/blank,Yes,Yes,Daily,DrivingBARTBikingWalking,,,,,,ACTOther,1,,1,1,1,,- walking / biking around and visiting the neighborhood shops,"- safe places to bike - slower traffic, with fewer lanes, a center median for pedestrians, more trees, wider sidewalks - time the stop lights for vehicles. I often wait at every light. - ecological storm water retention",Disagree,Strongly Disagree,Agree,No Opinion,No,Biking,Walking,Transit,Driving,,4,3,1,2,"time lights, fewer lights, safer pedestrian crossing",,"separated bike lanes (all), more bike parking (40-51)","(40-51) wider sidewalks, landscaped crossing medians, safer crosswalks, slower traffic / fewer lanes, parklets","Vision should include an ecological component as well as the human one. What should be included from and environmental standpoint. Runoff, vegetation, solar, material choices.","- Vanderbilt Avenue in Brooklyn, NY (center median/turn lanes, fewer lanes, added bike lanes, landscaping) - Valencia in SF (wide sidewalks, fewer traffic lanes, slower traffic, parklets)",- bus pullouts so buses don't block traffic
255,United States,Oakland,CA,94606,94104,No/blank,No/blank,No/blank,Yes,No/blank,A few times per week,Biking,BART,Walking,ACT,Driving,,Other,5,4,2,1,3,,"It's a main artery connecting neighborhoods in Oakland & Berkeley. Easy to use to travel to different areas, and with the number of businesses on Telegraph it is a destination as well.","More/consistent bike lanes. Notably, they seem to be absent in Oakland. New paving is needed between Uptown & Temescal- there are some major potholes that could be hazardous to bikes and cars.",Disagree,Strongly Disagree,Agree,Agree,No,BikingWalking,Transit,,Driving,,4,2,1,1,Repaving from 40th to 51st badly needed.,Would love to see the 1R run on weekends,bike lanes on telegraph through Oakland. Specifically in heavier trafficed areas like in Temescal,"In general, crosswalks could be more well lit/marked",,"I really enjoy the newly redone section of Lakeshore ave complete with the green bike lanes. As a motorist, bicyclist, pedestrian and transit rider, I feel that the new section of Lakeshore ave does a great job accommodating the needs of each group. Lanes are comfortably wide enough for cars, bike lanes are visible and also provide enough room. Bus only lanes over by the courthouse help with congestion and pedestrian sidewalks and crossings are clearly visible and well lit.",
256,United States,Oakland,CA,94608,,No/blank,No/blank,No/blank,No/blank,No/blank,,,,,,,,DrivingACTBARTBikingWalkingOther,,,,,,,,,,,,,,,,,,DrivingTransitBikingWalking,,,,,,,,,,,"Left this off my earlier submission but think it is HUGELY important. Access to and from Telegraph for nearby neighborhoods needs to be improved. The UNDERPASSES - 45th, 42nd, 40th, MacArthur. These are a dramatic barrier to safely accessing Telegraph. Lighting, landscaping, elimination of parking to hinder dumping, fencing to prevent camping underneath, These need attention in order for nearby neighbors to safely access Telegraph."
257,United States,Oakland,CA,94609,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,Walking,,,,Driving,ACTBARTOther,6,,,1,2,,It takes car traffic off Broadway.,"Safer for bikes and walkers, traffic calming to slow spending, aesthetically more pleasing.",Agree,Strongly Disagree,Agree,Agree,No,Biking,,,,DrivingTransitWalking,,,1,,,,"Bikes boxes at intersections, ease of making turns, protected bike lanes","Ease of crossing, less scary to walk",,,
258,United States,Oakland,CA,94609,94105,Yes,No/blank,No/blank,No/blank,No/blank,Daily,,,DrivingBART,,Walking,,ACTBikingOther,3,,3,,5,,The walkability of the neighborhood. Unique shops and restaurants run by people invested in the neighborhood. Cultural diversity of shops and restaurants.,Wish all street-front spaces were in active use and open to the public. Fewer paint stores.,Disagree,Strongly Disagree,Strongly Agree,Agree,No,Driving,,TransitWalking,Biking,,1,3,4,3,,,Dedicated bike lines from Jack London to UC Berkeley,,,,
259,United States,,,94612,94612,Yes,No/blank,Yes,Yes,Yes,A few times per week,Biking,BART,Walking,Driving,ACT,Other,,4,5,2,1,3,6,The sections with bike lanes.,The poorly paved sections; the sections without bike lanes.,No Opinion,Disagree,Strongly Agree,No Opinion,No,Biking,Walking,Transit,Driving,,4,3,1,2,n/a,n/a,"Some sections feel safe, others feel unsafe. Some nasty potholes.",n/a,,Broadway from Downtown to ~40th. Beautiful to bike on. No potholes plus a bike lane makes commuting excellent.,
260,United States,Sunnyvale,CA,94611,,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Driving,,,BART,Walking,Biking,ACTOther,1,,4,6,5,,variety of services/retail/restaurants,"It feels very congested. It would improve with a redesign and re-architecture.  Better way finding for bicyclists.  I'd also like dedicated lanes for transit and bikes.  Also more pedestrian friendly sidewalk uses, more benches, a parker and or other space.  Also, a large bike parking area at the north and south ends of the Districts, perhaps around Macarthur and also at 51st.  More shared parking would be helpful as well.  There are lots of private driveways and lots that are unevenly utilized.",Disagree,Strongly Disagree,Strongly Agree,Disagree,No,TransitWalking,Biking,,,Driving,,1,2,1,improve street quality,"dedicated bus lane, better bus shelters","lots of parking at 40th, 51st, protected bike lane","wider sidewalks, better striping on the mid block sidewalks, like the zebra stripes on the full corridor","I think Telegraph could go on a ""road diet"" with dedicated bus lanes and protected bikeway, and the traffic could be spread out a bit more on the neighboring parallel streets.","1.  wider sidewalks with more spaces to relax, sit, eat, sidewalk seating for restaurants.  Better, safer bus shelters, dedicated protected bike lane and transit lane.",
261,United States,Oakland,CA,94623,94623,No/blank,No/blank,No/blank,No/blank,Yes,A few times per week,Biking,Walking,BART,,,,DrivingACTOther,,,3,1,2,,Light signals are tuned so I can travel w/o having to stop at a great deal of traffic lights when bicycling between downtown Oakland and UCB.,Dedicated bi-directional bicycle lane.,Agree,Strongly Disagree,,,No,Biking,Walking,Transit,Driving,,4,3,1,2,,,Dedicated bicycle lanes are needed,,"It would be good to include a staggered traffic lighting scheme for bicyclists, too. It takes a few seconds for a bicyclist to get up to traveling speed.","Utrecht and Amsterdam, The Netherlands; Portland, OR, USA. They have dedicated bicycle lanes, bicycle traffic lights on major arteries like Telegraph Ave.",
262,United States,Albany,CA,94707,94707,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,Biking,BART,ACT,Walking,Driving,,Other,5,3,2,1,4,,"great stores and restaurants, interesting neighborhoods, direct route from Berkeley to Oakland","better bike lanes, better pedestrian facilities, less motor vehicle traffic",Disagree,Disagree,Agree,Disagree,No,Biking,Walking,,,DrivingTransit,,,1,2,"one lane in each direction, but with a median barrier (or BRT line) to reduce stress of oncoming traffic; off-street parking in congested business areas so merchants wouldn't be dependent on on-street parking",a rapid system that wasn't delayed by traffic,"need consistent bike lanes all the way, and bike racks near stores and restaurants","pedestrian malls where possible; imagine the last 6 blocks to UCB without cars, or with just a rapid bus lane - businesses would boom!",,"downtown Denver has a pedestrian mall with local free buses as the only vehicles permitted - interesting idea Barcelona has the Ramblas, a popular pedestrian area in the middle of a major avenue",
263,United States,Rancho Cordova,CA,94618,,No/blank,No/blank,No/blank,Yes,Yes,A few times per month,Biking,Driving,Walking,ACT,BART,Other,,2,4,5,1,3,6,"Pedestrian scale restaurants & retail, especially in Temescal.  The entire length feels alive and active.  Even in the areas I do not visit often, it seems better than some of the 'dead zones' on Broadway.","More trees, better lighting.  Better bike infrastructure, especially through busy/complex intersections.  I like riding Telegraph more than Shattuck, because with multiple lanes, it's easier for vehicles to pass me.  BUT, when we get close to intersections like 51st, there are so many vehicles merging & turning that it can be hard to navigate.  Clearer markings for all users would help.",Agree,Disagree,Agree,Disagree,No,Walking,Transit,Biking,Driving,,4,2,3,1,Better intersection design where Shattuck meets Telegraph,"Consider transit-only lane to speed travel, or transit+bike lane, if safety can be maintained.  In general, better lighting and amenities at bus stops; especially important between Grand & 40th, which feels less safe than other areas.",Better bicycle markings throughout--especially in intersections.  Dedicated bike lane if space permits.,To improve safety at uncontrolled intersections: ped-activated cross-walk flashers at high volume crosswalks; bulbouts and/or median refuge islands in areas where vehicles travel at high speeds or have limited visibility.,,,"I struggled with the question #9 on whether or not the current configuration is acceptable.  I took the question to mean more than simply basic cross-section & lane geometry, assuming you also mean the current treatments and amenities for various users.  In that sense, and regardless of the final number of lanes, Telegraph needs a lot of work to become a nicer ""promenade"" style street: upgraded street furniture & lighting, parklets to extend the sidewalk width at key locations, swales & trees to add more natural elements.  Consider a landscaped median where space permits to improve the feeling of human-scale."
264,United States,Oakland,CA,94609,,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Biking,ACT,BART,Walking,Driving,Other,,5,2,3,1,4,6,"- some parts are lined with nice trees  - in some parts cars travel at a speed that feels safe to be near  - nice variety of businesses, relatively few chain stores","- I wish there was some humane and inviting public space to take a break in or people-watch from, ideally adjacent to things that make people want to linger rather than being bordered by noisy smoggy streets and parking.  A public square or plaza on the East side, maybe in place of the ""Dollar Cleaner"" store and/or parking lot near 49th St. would be nice, especially if it was designed to accommodate a variety of cultural, commercial, and recreational activities.  - Let's build on the success of Temescal Alley, and either find ways to link it back to Telegraph Ave or to new pedestrian spaces  - Make it either more convenient and quick to cross by bike (good) or add cycle tracks, which is the only safe, long term solution that will get people of all ages to ride (better!)  - The freeway overpass @ 56th divides the neighborhood by discouraging bikes and pedestrians from crossing.  Something needs to be done to mitigate the unpleasant environment it creates.  (Also, space beneath a freeway is a terrible place to put public parks, so it could be kept as open green space or for a light industrial use.)",No Opinion,Strongly Disagree,Agree,No Opinion,No,Biking,Walking,Transit,Driving,,4,3,1,2,prioritize the needs of local traffic over through-travel,United States,"ease of making turns, cycle tracks adjacent to the sidewalk with parking between the cycle track and the vehicle lanes","curb bulb-outs, different pavement @ ped crossings, flashing ground lights @ ped crossings, perception of safety, more trees, places to take a break","This is a very timid statement as it seems to strive for 100% consensus, which usually leads to very mild and bland improvements that for the most part maintain the status quo.  You need to acknowledge that making streets that are safe for your 8-year old and your 80-year old to walk through, for people of most ages to bike through, and that are inviting and engaging will NOT make travel easier for cars.  Do you want to fight for transformative change that will apply proven design solutions from other forward-thinking cities, or are we going to end up with a meek redevelopment that will get torn up again in a few decades when some bad urban planning ideas finally die off?  Let's not water down some of the potential we have here!","- Pearl District in Portland, OR - Almost any street in Copenhagen, DK - Higuera St. or Monterey St., San Luis Obispo - Hayes St. in Hayes Valley",
265,United States,Oakland,CA,94618,,Yes,No/blank,No/blank,No/blank,No/blank,A few times per month,Driving,Walking,,,,ACTBARTBikingOther,,1,6,6,6,2,6,Excellent restaurants and interesting shops,That Sorbet would come back. That was a family favorite !,No Opinion,No Opinion,Agree,No Opinion,No,Walking,Biking,Transit,Driving,,4,3,2,1,,,bike lanes,,,College Ave,
266,United States,Oakland,CA,94611,94519,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Walking,BART,Biking,Driving,ACT,,Other,4,5,2,3,1,,The cultural mix,Don't know. More outside seating at restaurants and cafes,Agree,,Disagree,No Opinion,,,,,,DrivingTransitBikingWalking,,,,,,Increased security near MacArthur BART,,Increased security near MacArthur BART,Sounds good,"Telegraph is unique, and I'm glad. It's a long street whose flavor changes as you travel along it. I hope that aspect will be preserved.",
267,United States,Oakland,CA,94612,94612,Yes,No/blank,No/blank,Yes,No/blank,Daily,DrivingBARTBikingWalking,,,,,ACT,Other,1,6,1,1,1,,Restaurants,Bike lane,Disagree,Strongly Disagree,Disagree,No Opinion,No,BikingWalking,Transit,Driving,,,3,2,1,1,,,,,,,
268,United States,Oakland,CA,94602,94704,No/blank,No/blank,No/blank,No/blank,Yes,A few times per week,,Biking,BART,DrivingACT,WalkingOther,,,4,4,3,2,5,5,It's a direct street from Downtown Oakland to UC Berkeley,"Better pavement, specially close to downtown. Also, a clear bike lane",Disagree,Strongly Disagree,Disagree,Agree,No,Biking,Transit,DrivingWalking,,,3,2,1,3,,,,,,,
269,United States,Emeryville,CA,94609,94609,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Driving,BART,Biking,Walking,Other,ACT,,1,6,2,3,4,5,"Single lanes, diversity of shops, walkability.",Wider bike lanes.,Strongly Agree,Disagree,Agree,No Opinion,No,Driving,Walking,Transit,Biking,,1,3,4,2,,,,,,,
270,United States,Fairfield,CA,94609,,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Biking,ACTBART,,DrivingWalking,,,Other,4,2,2,1,4,,Central to getting around Oakland and to Berkeley. Fast Bus lines. Connection to MacArthur Bart. Has some good food.,"It was paved nicer for bikes, or had a bike lane. Cars go fast!",Agree,Strongly Disagree,No Opinion,Strongly Agree,No,Biking,Transit,Walking,Driving,,4,2,1,3,,"Get NextBus tickers! Esp. for Downtown Oakland stop, Grand and Telegraph, for the 51/1","The stretch from 51st to 45th is really bad pavement for cyclists. Also the stretch that goes under the freeway overpass, and through to downtown Oakland has some serious potholes and safety issues. NEED BIKE LANES!!",,,"I love the bike improvements made to 40th Avenue, the bike lanes are amazing. And, Mandella Parkway is a great example of high-occupancy lanes for vehicles while still providing bike and pedestrian safety and comfort.","Go you guys, help us bikers out!"
271,United States,Oakland,CA,94609,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Biking,Driving,Walking,ACT,BART,,Other,2,4,5,1,3,,"Wider space and fewer stoplights than Broadway, mix of businesses.","Fewer potholes, slower speed for cars, addition of bike lane.",Disagree,Strongly Disagree,Agree,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,"congestion in Temescal (40th to 55th), potholes (34th to 20th)",,"need bike lanes, esp those that allow motorists to make right hand turns at major intersections (27th, Grand)","crosswalks need attention, given speed of traffic and width of street",,,
272,United States,Oakland,CA,94606,94609,No/blank,Yes,No/blank,No/blank,No/blank,Daily,Driving,Biking,Walking,,,,ACTBARTOther,1,,,2,3,,Independent retailers and restaurants give me great choice and variety.,Less auto traffic. Fewer beggars and homeless.,Agree,Strongly Disagree,Strongly Agree,No Opinion,No,Biking,Walking,Transit,DrivingWalking,,4,3,1,2,Traffic calming measures will increase safety,United States,Bike lanes along with traffic calming,With traffic calming and bike lanes Telegraph will become a quieter and calmer environment thus safer and more enjoyable.,,Pearl St. in Boulder CO. Larimer St. in Denver CO. Nearly any street in Amsterdam  NL. Brick Lane in London UK. Milwaukee Ave in Chicago IL. Valencia in SF,
273,,,,94609,94607,Yes,No/blank,Yes,Yes,Yes,Daily,Driving,Biking,BART,ACT,Walking,,Other,1,4,3,2,5,,Direct from home to work,Paving and real bike lanes from Latham Square to Berkeley campus.,Agree,Strongly Disagree,Agree,Agree,No,Biking,,,DrivingTransit,,4,4,1,4,,,Bike lanes and repaving for all of Telegraph,,,,
